Timestamp,Fake Student ID,What year/class are you in?,Have you done a co-op during your time at Northeastern?,"How would you rate your experience programming on a scale of 0-10, where 0 is (No Experience) and 10 is (Proficient in at least one language)",Which language(s) have you had at least some experience programming in? (Choose all that apply),"What is your age (in months)? For example, if you turned 20 in July of this year, you would be (20*12 + 2) = 242 months old.",What is your ideal starting salary (in thousands of USD)? (Try to be reasonable!)
09-09-22 15:37,pseudo_0,Sophomore,No,9,"Python, Other(s)",234.0,60.0
09-09-22 16:01,pseudo_1,Sophomore,No,7,Python,233.0,100.0
09-09-22 14:19,pseudo_2,Junior,Yes,7,"Python, Java, C/C++",252.0,70.0
09-09-22 16:07,pseudo_3,Junior,No,7,"Python, Java",243.0,50.0
09-09-22 16:06,pseudo_4,Sophomore,No,5,"Python, R",231.0,90.0
09-09-22 15:27,pseudo_5,Junior,No,8,"Python, Java",245.0,70.0
09-09-22 14:16,pseudo_6,Senior,Yes,7,Python,258.0,90.0
09-09-22 16:06,pseudo_7,Fifth year,Yes,3,"Java, Other(s)",264.0,
09-09-22 16:07,pseudo_8,Sophomore,No,10,"Java, R",232.0,58.0
09-09-22 14:13,pseudo_9,Junior,Yes,10,"Python, Java, C/C++, R",240.0,100.0
09-09-22 14:15,pseudo_10,Fifth year,Yes,10,"Python, Java, C/C++",276.0,120.0
09-09-22 16:07,pseudo_11,Sophomore,No,5,Python,230.0,80.0
09-09-22 14:14,pseudo_12,Senior,Yes,6,Python,257.0,
09-09-22 13:58,pseudo_13,Senior,Yes,8,"Python, Java, C/C++, R",265.25,
09-09-22 14:13,pseudo_14,Sophomore,No,6,"Python, Other(s)",239.0,85.0
09-09-22 15:35,pseudo_15,Sophomore,No,7,"Python, Java, R",232.0,90.0
09-09-22 14:13,pseudo_16,Junior,Yes,10,"Python, Java",,200.0
09-09-22 14:13,pseudo_17,Junior,No,10,"Python, Java, C/C++",256.0,100.0
09-09-22 15:55,pseudo_18,Sophomore,No,10,"Python, Java",231.0,100.0
09-09-22 14:14,pseudo_19,Junior,Yes,10,"Python, Java, Other(s)",247.0,100.0
09-09-22 16:08,pseudo_20,Sophomore,No,7,"Java, C/C++, R, Other(s)",232.0,80.0
09-09-22 15:37,pseudo_21,Senior,Yes,3,Python,265.0,
09-09-22 14:06,pseudo_22,Senior,Yes,4,Python,281.0,90.0
09-09-22 15:45,pseudo_23,Sophomore,No,6,"Python, Java",238.0,82.5
09-09-22 15:41,pseudo_24,Junior,Yes,8,"Python, Java, C/C++",254.0,65.0
8/30/2022 13:49:42,pseudo_25,Faculty,No,8,"Python, Java, R, SAS",381.0,100.0
09-09-22 14:15,pseudo_26,Fifth year,Yes,4,Java,266.0,60.0
09-09-22 13:39,pseudo_27,Sophomore,No,6,Java,230.0,100.0
09-09-22 14:14,pseudo_28,Junior,Yes,4,"Python, R",241.0,40.0
09-09-22 14:16,pseudo_29,Sophomore,No,7,Java,235.0,80.0
09-09-22 14:17,pseudo_30,Fifth year,Yes,9,"Python, Java",270.0,80.0
09-09-22 13:45,pseudo_31,Sophomore,No,8,"Python, Java, R",229.0,75.0
09-09-22 16:07,pseudo_32,Senior,Yes,7,"Python, Java, R",264.0,100.0
09-09-22 14:13,pseudo_33,Sophomore,No,8,"Python, Java",235.0,
09-09-22 16:07,pseudo_34,Senior,Yes,9,Python,251.0,80.0
09-09-22 14:13,pseudo_35,Senior,Yes,8,"Python, Other(s)",264.0,
09-09-22 16:05,pseudo_36,Sophomore,No,6,Java,232.0,70.0
09-09-22 16:06,pseudo_37,Sophomore,No,9,"Python, Java",234.0,90.0
09-09-22 16:06,pseudo_38,Sophomore,No,8,"Python, Java, R",232.0,80.0
09-09-22 14:15,pseudo_39,Sophomore,No,10,"Python, Java, C/C++",230.0,100.0
