fake_student_id,time_stamp,class,co_op,prog_exp,python_exp,java_exp,r_exp,c_exp,age_months,ideal_start_salary_thousands
1380,09-09-22 15:37,Sophomore,No,9,Python,,,,234,60
3926,09-09-22 16:01,Sophomore,No,7,Python,,,,233,100
2394,09-09-22 14:19,Junior,Yes,7,Python,Java,,,252,70
4827,09-09-22 16:07,Junior,No,7,Python,Java,,,243,60
9977,09-09-22 16:06,Sophomore,No,5,Python,,R,,231,90
6126,09-09-22 15:27,Junior,No,8,Python,Java,,,245,70
9360,09-09-22 14:16,Senior,Yes,7,Python,,,,258,90
8762,09-09-22 16:06,Fifth year,Yes,3,Java,,,,264,
3434,09-09-22 16:07,Sophomore,No,10,Java,,R,,232,58
3266,09-09-22 14:13,Fifth year,Yes,10,Python,Java,,,240,100
7768,09-09-22 14:15,Fifth year,Yes,10,Python,Java,,,276,120
6634,09-09-22 16:07,Sophomore,No,5,Python,,,,230,80
8861,09-09-22 14:14,Senior,Yes,6,Python,,,,257,
6768,09-09-22 13:58,Senior,Yes,8,Python,Java,,,265.25,
9881,09-09-22 14:13,Sophomore,No,6,Python,,,,239,85
7364,09-09-22 15:35,Sophomore,No,7,Python,Java,,,232,90
5647,09-09-22 14:13,Junior,Yes,10,Python,Java,,,,200
4062,09-09-22 14:13,Junior,No,10,Python,Java,,,256,100
2045,09-09-22 15:55,Sophomore,No,10,Python,Java,,,231,100
1618,09-09-22 14:14,Junior,Yes,10,Python,Java,,,247,100
3213,09-09-22 16:08,Sophomore,No,7,Java,,,C/C++,232,80
3196,09-09-22 15:37,Senior,Yes,3,Python,,,,265,
6941,09-09-22 14:06,Senior,Yes,4,Python,,,,281,90
5341,09-09-22 15:45,Sophomore,No,6,Python,Java,,,238,85
2195,09-09-22 15:41,Junior,Yes,8,Python,Java,,,254,65
1,8-30-2022 13:49:42,Faculty,No,8,Python,Java,,,381,100
9059,09-09-22 14:15,Fifth year,Yes,4,Java,,,,266,60
6011,09-09-22 13:39,Sophomore,No,6,Java,,,,230,100
1789,09-09-22 14:14,Junior,Yes,4,Python,,R,,241,40
8523,09-09-22 14:16,Sophomore,No,7,Java,,,,235,80
9083,09-09-22 14:17,Fifth year,Yes,9,Python,Java,,,270,80
7780,09-09-22 13:45,Sophomore,No,8,Python,Java,,,229,75
3460,09-09-22 16:07,Senior,Yes,7,Python,Java,,,264,100
9677,09-09-22 14:13,Sophomore,No,8,Python,Java,,,235,
4506,09-09-22 16:07,Senior,Yes,9,Python,,,,251,80
8550,09-09-22 14:13,Senior,Yes,8,Python,,,,264,
1628,09-09-22 16:05,Sophomore,No,6,Java,,,,232,80
1899,09-09-22 16:06,Sophomore,No,9,Python,Java,,,234,90
9740,09-09-22 16:06,Sophomore,No,8,Python,Java,,,232,80
4210,09-09-22 14:15,Sophomore,No,10,Python,Java,,,230,100
6935,09-09-22 16:04,Sophomore,No,8,Python,Java,,,232,165
2031,09-09-22 14:13,Junior,Yes,5,Python,,,,242,80
3135,09-09-22 17:47,Sophomore,No,8,Python,,,,231,100
5476,09-11-22 11:56,Sophomore,No,7,Python,Java,,,231,65
1837,09-09-22 14:16,Senior,Yes,7,Python,,,,264,100
5405,09-09-22 13:48,Senior,Yes,5,Python,,,,257,75
1861,09-09-22 16:06,Sophomore,No,7,Python,Java,,,226,90
8495,09-09-22 16:06,Sophomore,No,10,Python,Java,,,237,100
1758,09-09-22 15:43,Sophomore,No,9,Python,,R,,229,85
6848,09-09-22 14:14,Junior,Yes,7,Python,Java,,,245,170
2694,09-09-22 15:53,Sophomore,No,8,Python,Java,,,234,100
3607,09-09-22 16:07,Sophomore,No,10,Python,Java,,,233,80
7369,09-09-22 14:11,Senior,Yes,5,Python,,,,273,72
4412,09-09-22 14:16,Senior,No,5,Python,,,C/C++,254,50.7
1638,09-09-22 15:33,Sophomore,No,8,Java,,,,231,100
8325,09-09-22 15:38,Sophomore,No,10,Python,Java,,,230,500
2575,09-09-22 14:04,Senior,Yes,8,Python,Java,,,250,100
8162,09-09-22 15:43,Senior,Yes,10,Python,Java,,,248,90
1508,09-09-22 16:06,Junior,Yes,10,Python,Java,,,246,100
7345,09-09-22 14:15,Junior,Yes,5,Python,Java,,,247,85
6480,09-09-22 14:15,Sophomore,No,6,Python,,,,238,80
4734,09-09-22 15:34,Sophomore,No,7,Java,,,,231,150
4238,09-09-22 16:03,Senior,Yes,9,Python,Java,,,259,70
1031,09-09-22 14:13,Sophomore,No,7,Java,,,,237,75
3784,09-09-22 14:14,Junior,Yes,9,Python,Java,,,245,100
6927,09-09-22 15:32,Sophomore,No,6,Java,,,,240,80
5702,09-09-22 15:43,Sophomore,No,10,Python,Java,,,231,100
5621,09-09-22 16:09,Sophomore,No,8,Python,,,,235,64
3779,09-09-22 14:16,Junior,Yes,9,Python,Java,,,243,100
5158,09-09-22 14:18,Senior,Yes,10,Python,Java,,,255,100
9450,09-09-22 14:14,Sophomore,No,10,Python,Java,,,237,91
2895,09-09-22 14:13,Sophomore,No,9,Java,,,,230,80
9274,09-09-22 13:42,Sophomore,No,9,Python,Java,,,235,120
5785,09-09-22 14:15,Senior,Yes,10,Python,,,,253,
2295,09-09-22 14:14,Fifth year,Yes,6,Java,,,C/C++,,
1887,09-09-22 16:06,Senior,Yes,10,Python,Java,,,251,95
1609,09-09-22 14:20,Senior,Yes,8,Python,Java,,,251,90
8781,09-09-22 16:07,Senior,Yes,10,Python,Java,,,263,90
1728,09-09-22 16:05,Sophomore,No,9,Python,Java,,,236,100
4857,09-09-22 15:37,Sophomore,No,7,Java,,,,227,
1805,09-09-22 14:16,Senior,Yes,9,Python,,,,263,80
4718,09-09-22 15:38,Sophomore,No,9,Python,Java,,,245,100
3606,09-09-22 16:06,Sophomore,No,10,Python,Java,,,233,95
3370,09-09-22 14:20,Senior,Yes,7,Python,,,,272,100
2716,09-09-22 14:17,Sophomore,No,7,Python,,,,237,185
3244,09-09-22 16:07,Sophomore,No,6,Python,Java,,,242,60
3516,09-09-22 16:06,Sophomore,No,6,Java,,,,236,100
2129,09-09-22 13:43,Sophomore,No,10,Python,Java,,,233,70
6415,09-09-22 15:54,Sophomore,No,6,Python,Java,,,237,100
2973,09-09-22 16:07,Sophomore,No,6,Java,,,,234,100
2962,09-09-22 16:04,Sophomore,No,7,Python,Java,,,233,80
3176,09-10-22 16:30,Senior,Yes,5,Python,,,,275,90
3775,09-09-22 15:50,Junior,Yes,8,Python,,R,,262,100
1562,09-09-22 16:06,Sophomore,No,7,Java,,,,230,73
9610,09-09-22 14:13,Senior,Yes,10,Python,Java,,,264,100
2120,09-09-22 13:46,Junior,Yes,2,Java,,,,246,100
6664,09-09-22 13:43,Sophomore,No,10,Python,Java,,,238,75
