student_id,class,co-op,prog_exp,age,start_sal,datetimestamp,python,java,r,c/c++,other(s)
7289,Sophomore,False,9,234.0,60.0,2022-09-09 15:37:00,True,False,False,False,True
36,Sophomore,False,7,233.0,100.0,2022-09-09 16:01:00,True,False,False,False,False
2676,Junior,True,7,252.0,70.0,2022-09-09 14:19:00,True,True,False,True,False
3848,Junior,False,7,243.0,50.0,2022-09-09 16:07:00,True,True,False,False,False
2755,Sophomore,False,5,231.0,90.0,2022-09-09 16:06:00,True,False,True,False,False
3724,Junior,False,8,245.0,70.0,2022-09-09 15:27:00,True,True,False,False,False
9619,Senior,True,7,258.0,90.0,2022-09-09 14:16:00,True,False,False,False,False
9935,Fifth year,True,3,264.0,45.517,2022-09-09 16:06:00,False,True,False,False,True
234,Sophomore,False,10,232.0,58.0,2022-09-09 16:07:00,False,True,True,False,False
8019,Junior,True,10,240.0,100.0,2022-09-09 14:13:00,True,True,True,True,False
4933,Fifth year,True,10,276.0,120.0,2022-09-09 14:15:00,True,True,False,True,False
5374,Sophomore,False,5,230.0,80.0,2022-09-09 16:07:00,True,False,False,False,False
2172,Senior,True,6,257.0,45.517,2022-09-09 14:14:00,True,False,False,False,False
2327,Senior,True,8,265.25,45.517,2022-09-09 13:58:00,True,True,True,True,False
6158,Sophomore,False,6,239.0,85.0,2022-09-09 14:13:00,True,False,False,False,True
7589,Sophomore,False,7,232.0,90.0,2022-09-09 15:35:00,True,True,True,False,False
8757,Junior,True,10,,200.0,2022-09-09 14:13:00,True,True,False,False,False
1919,Junior,False,10,256.0,100.0,2022-09-09 14:13:00,True,True,False,True,False
6823,Sophomore,False,10,231.0,100.0,2022-09-09 15:55:00,True,True,False,False,False
9386,Junior,True,10,247.0,100.0,2022-09-09 14:14:00,True,True,False,False,True
1339,Sophomore,False,7,232.0,80.0,2022-09-09 16:08:00,False,True,True,True,True
8824,Senior,True,3,265.0,45.517,2022-09-09 15:37:00,True,False,False,False,False
3821,Senior,True,4,281.0,90.0,2022-09-09 14:06:00,True,False,False,False,False
9808,Sophomore,False,6,238.0,82.5,2022-09-09 15:45:00,True,True,False,False,False
5896,Junior,True,8,254.0,65.0,2022-09-09 15:41:00,True,True,False,True,False
716,Faculty,False,8,381.0,100.0,2022-08-30 13:49:42,True,True,True,False,False
1571,Fifth year,True,4,266.0,60.0,2022-09-09 14:15:00,False,True,False,False,False
9278,Sophomore,False,6,230.0,100.0,2022-09-09 13:39:00,False,True,False,False,False
7623,Junior,True,4,241.0,40.0,2022-09-09 14:14:00,True,False,True,False,False
4993,Sophomore,False,7,235.0,80.0,2022-09-09 14:16:00,False,True,False,False,False
4620,Fifth year,True,9,270.0,80.0,2022-09-09 14:17:00,True,True,False,False,False
5363,Sophomore,False,8,229.0,75.0,2022-09-09 13:45:00,True,True,True,False,False
5907,Senior,True,7,264.0,100.0,2022-09-09 16:07:00,True,True,True,False,False
1935,Sophomore,False,8,235.0,45.517,2022-09-09 14:13:00,True,True,False,False,False
3925,Senior,True,9,251.0,80.0,2022-09-09 16:07:00,True,False,False,False,False
9947,Senior,True,8,264.0,45.517,2022-09-09 14:13:00,True,False,False,False,True
6413,Sophomore,False,6,232.0,70.0,2022-09-09 16:05:00,False,True,False,False,False
6547,Sophomore,False,9,234.0,90.0,2022-09-09 16:06:00,True,True,False,False,False
2036,Sophomore,False,8,232.0,80.0,2022-09-09 16:06:00,True,True,True,False,False
4733,Sophomore,False,10,230.0,100.0,2022-09-09 14:15:00,True,True,False,True,False
4720,Sophomore,False,8,232.0,165.0,2022-09-09 16:04:00,True,True,False,False,False
6961,Junior,True,5,242.0,80.0,2022-09-09 14:13:00,True,False,False,False,False
7852,Sophomore,False,8,231.0,100.0,2022-09-09 17:47:00,True,False,False,False,False
4603,Sophomore,False,7,231.0,65.0,2022-09-11 11:56:00,True,True,False,False,False
6029,Senior,True,7,264.0,100.0,2022-09-09 14:16:00,True,False,False,False,False
2469,Senior,True,5,257.0,75.0,2022-09-09 13:48:00,True,False,False,False,False
1539,Sophomore,False,7,226.0,90.0,2022-09-09 16:06:00,True,True,False,False,False
9689,Sophomore,False,10,237.0,100.0,2022-09-09 16:06:00,True,True,False,False,True
1904,Sophomore,False,9,229.0,85.0,2022-09-09 15:43:00,True,False,True,False,False
1201,Junior,True,7,245.0,170.0,2022-09-09 14:14:00,True,True,False,False,False
4492,Sophomore,False,8,234.0,100.0,2022-09-09 15:53:00,True,True,False,False,False
